country,code,year,literacy_rate,avg_years_of_education,population,region
Africa,Afr,1985,27.0,3.4740546,559664038.0,Africa
Africa,Afr,1990,27.0,4.1424775,643775322.0,Africa
Africa,Afr,1995,27.0,4.7085795,732695472.0,Africa
Africa,Afr,2000,27.0,5.012495,830582806.0,Africa
Africa,Afr,2005,27.0,5.4465013,942546629.0,Africa
Africa,Afr,2010,27.0,5.890455,1072216734.0,Africa
Africa,Afr,2015,27.0,6.1954384,1220075726.0,Africa
Africa,Afr,2020,27.0,6.6818657,1380821349.0,Africa
Albania,ALB,1870,72.5,0.02,604928.0,Europe
Albania,ALB,1875,72.5,0.03,634193.0,Europe
Albania,ALB,1880,72.5,0.03,664842.0,Europe
Albania,ALB,1885,72.5,0.04,696970.0,Europe
Albania,ALB,1890,72.5,0.05,730840.0,Europe
Albania,ALB,1895,72.5,0.06,767593.0,Europe
Albania,ALB,1900,72.5,0.08,805974.0,Europe
Albania,ALB,1905,72.5,0.1,843514.0,Europe
Albania,ALB,1910,72.5,0.15,881057.0,Europe
Albania,ALB,1915,72.5,0.24,911841.0,Europe
Albania,ALB,1920,72.5,0.36,941221.0,Europe
Albania,ALB,1925,72.5,0.51,966828.0,Europe
Albania,ALB,1930,72.5,0.67,995454.0,Europe
Albania,ALB,1935,72.5,0.84,1044694.0,Europe
Albania,ALB,1940,72.5,1.08,1100833.0,Europe
Albania,ALB,1945,72.5,1.8,1167887.0,Europe
Albania,ALB,1950,72.5,2.75,1247854.0,Europe
Albania,ALB,1955,72.5,2.93,1418855.0,Europe
Albania,ALB,1960,72.5,3.23,1649393.0,Europe
Albania,ALB,1965,72.5,3.63,1894317.0,Europe
Albania,ALB,1970,72.5,4.63,2181226.0,Europe
Albania,ALB,1975,72.5,5.77,2454861.0,Europe
Albania,ALB,1980,72.5,6.95,2735424.0,Europe
Albania,ALB,1985,72.5,7.93,3026245.0,Europe
Albania,ALB,1990,72.5,8.61,3277965.0,Europe
Albania,ALB,1995,72.5,8.54,3258573.0,Europe
Albania,ALB,2000,72.5,9.93,3166147.0,Europe
Albania,ALB,2001,99.0,1.8,3147943.0,Europe
Albania,ALB,2005,99.0,10.24,3076156.0,Europe
Albania,ALB,2008,96.0,1.8,2992933.0,Europe
Albania,ALB,2010,96.0,10.44,2928731.0,Europe
Albania,ALB,2011,97.0,1.8,2911499.0,Europe
Albania,ALB,2012,97.0,1.8,2910003.0,Europe
Albania,ALB,2015,97.0,9.99,2898634.0,Europe
Albania,ALB,2017,98.81623,1.8,2898245.0,Europe
Albania,ALB,2020,98.81623,10.32,2871950.0,Europe
Algeria,DZA,1870,17.5,0.1,3478884.0,Africa
Algeria,DZA,1875,17.5,0.13,3660312.0,Africa
Algeria,DZA,1880,17.5,0.16,3851201.0,Africa
Algeria,DZA,1885,17.5,0.2,4052043.0,Africa
Algeria,DZA,1890,17.5,0.23,4262454.0,Africa
Algeria,DZA,1895,17.5,0.27,4477863.0,Africa
Algeria,DZA,1900,17.5,0.39,4721802.0,Africa
Algeria,DZA,1905,17.5,0.51,5102742.0,Africa
Algeria,DZA,1910,17.5,0.6,5497750.0,Africa
Algeria,DZA,1915,17.5,0.58,5678648.0,Africa
Algeria,DZA,1920,17.5,0.65,5846192.0,Africa
Algeria,DZA,1925,17.5,0.71,6155505.0,Africa
Algeria,DZA,1930,17.5,0.74,6530132.0,Africa
Algeria,DZA,1935,17.5,0.78,7101299.0,Africa
Algeria,DZA,1940,17.5,0.8,7739370.0,Africa
Algeria,DZA,1945,17.5,0.82,8351211.0,Africa
Algeria,DZA,1950,17.5,0.83,9018423.0,Africa
Algeria,DZA,1955,17.5,0.82,10247429.0,Africa
Algeria,DZA,1960,17.5,0.9,11424930.0,Africa
Algeria,DZA,1965,17.5,1.15,12365979.0,Africa
Algeria,DZA,1970,17.5,1.69,13783722.0,Africa
Algeria,DZA,1975,17.5,2.26,15678603.0,Africa
Algeria,DZA,1980,17.5,3.0,18607175.0,Africa
Algeria,DZA,1985,17.5,4.28,22008542.0,Africa
Algeria,DZA,1987,50.0,0.82,23443627.0,Africa
Algeria,DZA,1990,50.0,5.05,25375815.0,Africa
Algeria,DZA,1995,50.0,5.76,28470194.0,Africa
Algeria,DZA,2000,50.0,6.06,30903894.0,Africa
Algeria,DZA,2002,70.0,0.82,31750832.0,Africa
Algeria,DZA,2005,70.0,6.43,33109258.0,Africa
Algeria,DZA,2006,73.0,0.82,33623505.0,Africa
Algeria,DZA,2008,75.0,0.82,34816963.0,Africa
Algeria,DZA,2010,75.0,7.0,36188237.0,Africa
Algeria,DZA,2015,75.0,7.55,40019528.0,Africa
Algeria,DZA,2020,75.0,8.18,44042094.0,Africa
American Samoa,ASM,1950,96.5,2.72,19070.0,Oceania
American Samoa,ASM,1980,97.0,2.72,32427.0,Oceania
Andorra,AND,1950,82.5,2.72,6018.0,Europe
Angola,AGO,1950,3.0,2.72,4551869.0,Africa
Angola,AGO,2001,67.0,2.72,16747204.0,Africa
Angola,AGO,2014,66.0,2.72,27160767.0,Africa
Angola,AGO,2015,66.23586,2.72,28157802.0,Africa
Anguilla,AIA,1984,95.0,2.72,6764.0,North America
Antigua and Barbuda,ATG,1950,82.5,2.72,45462.0,North America
Antigua and Barbuda,ATG,2001,99.0,2.72,76082.0,North America
Argentina,ARG,1870,64.9,0.39,1793208.0,South America
Argentina,ARG,1875,64.9,0.49,2099028.0,South America
Argentina,ARG,1880,64.9,0.59,2456365.0,South America
Argentina,ARG,1885,64.9,0.65,2874534.0,South America
Argentina,ARG,1890,64.9,0.7,3366831.0,South America
Argentina,ARG,1895,64.9,0.83,3964194.0,South America
Argentina,ARG,1900,64.9,0.97,4685089.0,South America
Argentina,ARG,1905,64.9,1.45,5636349.0,South America
Argentina,ARG,1910,64.9,1.81,6748544.0,South America
Argentina,ARG,1914,64.9,4.65,7533097.0,South America
Argentina,ARG,1915,64.9,2.35,7730214.0,South America
Argentina,ARG,1920,64.9,2.94,8818354.0,South America
Argentina,ARG,1925,64.9,3.29,10197065.0,South America
Argentina,ARG,1930,64.9,3.72,11726853.0,South America
Argentina,ARG,1935,64.9,4.04,12887227.0,South America
Argentina,ARG,1940,64.9,4.33,14078649.0,South America
Argentina,ARG,1945,64.9,4.65,15474655.0,South America
Argentina,ARG,1947,86.4,4.65,16077098.0,South America
Argentina,ARG,1950,87.5,4.91,17018032.0,South America
Argentina,ARG,1955,87.5,5.24,18716036.0,South America
Argentina,ARG,1960,87.5,5.69,20386055.0,South America
Argentina,ARG,1965,87.5,6.03,22112634.0,South America
Argentina,ARG,1970,87.5,6.48,23878330.0,South America
Argentina,ARG,1975,87.5,7.03,25874106.0,South America
Argentina,ARG,1980,94.0,7.51,28011597.0,South America
Argentina,ARG,1985,94.0,8.09,30336448.0,South America
Argentina,ARG,1990,94.0,8.67,32755907.0,South America
Argentina,ARG,1991,96.0,4.65,33230293.0,South America
Argentina,ARG,1995,96.0,8.91,35070016.0,South America
Argentina,ARG,2000,96.0,9.08,37213986.0,South America
Argentina,ARG,2001,97.0,4.65,37624817.0,South America
Argentina,ARG,2005,97.0,9.57,39216786.0,South America
Argentina,ARG,2010,97.0,9.71,41288694.0,South America
Argentina,ARG,2015,97.0,9.59,43477011.0,South America
Argentina,ARG,2020,97.0,9.86,45191960.0,South America
Armenia,ARM,1989,99.0,10.495,3443095.0,Asia
Armenia,ARM,2001,99.0,10.495,3084350.0,Asia
Armenia,ARM,2011,100.0,10.495,2923269.0,Asia
Armenia,ARM,2015,100.0,10.45,2921179.0,Asia
Armenia,ARM,2016,100.0,10.495,2918796.0,Asia
Armenia,ARM,2017,100.0,10.495,2914966.0,Asia
Armenia,ARM,2020,100.0,10.54,2890893.0,Asia
Armenia,ARM,2022,99.825,10.495,2880880.0,Asia
Aruba,ABW,2000,97.0,2.72,88772.0,North America
Aruba,ABW,2010,97.0,2.72,100127.0,North America
Australia,AUS,1870,98.5,1.72,1759814.0,Oceania
Australia,AUS,1875,98.5,1.86,1964491.0,Oceania
Australia,AUS,1880,98.5,2.06,2201376.0,Oceania
Australia,AUS,1885,98.5,2.39,2595117.0,Oceania
Australia,AUS,1890,98.5,2.74,3051532.0,Oceania
Australia,AUS,1895,98.5,2.97,3375772.0,Oceania
Australia,AUS,1900,98.5,3.09,3693331.0,Oceania
Australia,AUS,1905,98.5,3.36,3996273.0,Oceania
Australia,AUS,1910,98.5,3.87,4329018.0,Oceania
Australia,AUS,1915,98.5,4.29,4772426.0,Oceania
Australia,AUS,1920,98.5,4.71,5274343.0,Oceania
Australia,AUS,1925,98.5,5.46,5800229.0,Oceania
Australia,AUS,1930,98.5,6.01,6332771.0,Oceania
Australia,AUS,1935,98.5,6.56,6647662.0,Oceania
Australia,AUS,1940,98.5,7.02,6967916.0,Oceania
Australia,AUS,1945,98.5,7.48,7516465.0,Oceania
Australia,AUS,1950,98.5,8.21,8176751.0,Oceania
Australia,AUS,1955,98.5,8.49,9205189.0,Oceania
Australia,AUS,1960,98.5,8.78,10280815.0,Oceania
Australia,AUS,1965,98.5,9.19,11357479.0,Oceania
Australia,AUS,1970,98.5,10.11,12599414.0,Oceania
Australia,AUS,1975,98.5,10.8,13893988.0,Oceania
Australia,AUS,1980,98.5,11.4,14721345.0,Oceania
Australia,AUS,1985,98.5,11.43,15835743.0,Oceania
Australia,AUS,1990,98.5,11.44,17126304.0,Oceania
Australia,AUS,1995,98.5,11.51,18095340.0,Oceania
Australia,AUS,2000,98.5,11.37,19132472.0,Oceania
Australia,AUS,2005,98.5,11.71,20294490.0,Oceania
Australia,AUS,2010,98.5,11.69,22141583.0,Oceania
Australia,AUS,2015,98.5,12.92,23947997.0,Oceania
Australia,AUS,2020,98.5,12.93,25743787.0,Oceania
Austria,AUT,1870,98.5,2.27,4528451.0,Europe
Austria,AUT,1875,98.5,2.4,4728390.0,Europe
Austria,AUT,1880,98.5,2.56,4943751.0,Europe
Austria,AUT,1885,98.5,2.74,5166297.0,Europe
Austria,AUT,1890,98.5,3.04,5403121.0,Europe
Austria,AUT,1895,98.5,3.36,5681470.0,Europe
Austria,AUT,1900,98.5,3.7,5979176.0,Europe
Austria,AUT,1905,98.5,4.03,6292427.0,Europe
Austria,AUT,1910,98.5,4.38,6571587.0,Europe
Austria,AUT,1915,98.5,4.71,6541966.0,Europe
Austria,AUT,1920,98.5,5.03,6486069.0,Europe
Austria,AUT,1925,98.5,5.47,6576779.0,Europe
Austria,AUT,1930,98.5,5.86,6679644.0,Europe
Austria,AUT,1935,98.5,6.25,6702847.0,Europe
Austria,AUT,1940,98.5,6.16,6725734.0,Europe
Austria,AUT,1945,98.5,5.96,6827667.0,Europe
Austria,AUT,1950,98.5,5.89,6936455.0,Europe
Austria,AUT,1955,98.5,5.64,6946659.0,Europe
Austria,AUT,1960,98.5,5.67,7047274.0,Europe
Austria,AUT,1965,98.5,6.54,7270413.0,Europe
Austria,AUT,1970,98.5,7.26,7466320.0,Europe
Austria,AUT,1975,98.5,7.44,7577833.0,Europe
Austria,AUT,1980,98.5,7.6,7548407.0,Europe
Austria,AUT,1985,98.5,7.84,7564310.0,Europe
Austria,AUT,1990,98.5,8.26,7679627.0,Europe
Austria,AUT,1995,98.5,8.93,7950322.0,Europe
Austria,AUT,2000,98.5,9.43,8012929.0,Europe
Austria,AUT,2005,98.5,9.89,8229204.0,Europe
Austria,AUT,2010,98.5,10.13,8365087.0,Europe
Austria,AUT,2015,98.5,10.27,8644037.0,Europe
Austria,AUT,2020,98.5,10.39,8921402.0,Europe
Azerbaijan,AZE,1999,99.0,2.72,8100472.0,Asia
Azerbaijan,AZE,2007,100.0,2.72,8828313.0,Asia
Azerbaijan,AZE,2009,100.0,2.72,9046336.0,Asia
Azerbaijan,AZE,2010,100.0,2.72,9146852.0,Asia
Azerbaijan,AZE,2011,100.0,2.72,9256156.0,Asia
Azerbaijan,AZE,2012,100.0,2.72,9376179.0,Asia
Azerbaijan,AZE,2013,100.0,2.72,9504417.0,Asia
Azerbaijan,AZE,2014,100.0,2.72,9631136.0,Asia
Azerbaijan,AZE,2015,100.0,2.72,9752859.0,Asia
Azerbaijan,AZE,2016,100.0,2.72,9868434.0,Asia
Azerbaijan,AZE,2017,100.0,2.72,9968510.0,Asia
Azerbaijan,AZE,2019,100.0,2.72,10110483.0,Asia
Azerbaijan,AZE,2023,100.0,2.72,10318209.0,Asia
Bahamas,BHS,1950,77.5,2.72,83505.0,North America
Bahrain,BHR,1950,12.5,8.015,117275.0,Asia
Bahrain,BHR,1981,70.0,8.015,373534.0,Asia
Bahrain,BHR,1991,84.0,8.015,531883.0,Asia
Bahrain,BHR,2001,87.0,8.015,699964.0,Asia
Bahrain,BHR,2015,87.0,7.82,1369656.0,Asia
Bahrain,BHR,2020,87.0,8.21,1483081.0,Asia
Bahrain,BHR,2022,98.0,8.015,1533460.0,Asia
Bahrain,BHR,2023,98.0,8.015,1569674.0,Asia
Bangladesh,BGD,1870,29.0,0.01,23756533.0,Asia
Bangladesh,BGD,1875,29.0,0.02,24228546.0,Asia
Bangladesh,BGD,1880,29.0,0.02,24737232.0,Asia
Bangladesh,BGD,1885,29.0,0.03,25253705.0,Asia
Bangladesh,BGD,1890,29.0,0.03,25777945.0,Asia
Bangladesh,BGD,1895,29.0,0.04,26309922.0,Asia
Bangladesh,BGD,1900,29.0,0.06,26849595.0,Asia
Bangladesh,BGD,1905,29.0,0.2,27396914.0,Asia
Bangladesh,BGD,1910,29.0,0.33,27913022.0,Asia
Bangladesh,BGD,1915,29.0,0.44,28188438.0,Asia
Bangladesh,BGD,1920,29.0,0.42,28623503.0,Asia
Bangladesh,BGD,1925,29.0,0.5,29200387.0,Asia
Bangladesh,BGD,1930,29.0,0.58,30077163.0,Asia
Bangladesh,BGD,1935,29.0,0.65,32901598.0,Asia
Bangladesh,BGD,1940,29.0,0.75,36071677.0,Asia
Bangladesh,BGD,1945,29.0,0.85,37872937.0,Asia
Bangladesh,BGD,1950,29.0,0.93,41206857.0,Asia
Bangladesh,BGD,1955,29.0,0.95,45767686.0,Asia
Bangladesh,BGD,1960,29.0,1.03,51828663.0,Asia
Bangladesh,BGD,1965,29.0,1.27,59902522.0,Asia
Bangladesh,BGD,1970,29.0,1.41,69058898.0,Asia
Bangladesh,BGD,1975,29.0,1.63,77854352.0,Asia
Bangladesh,BGD,1980,29.0,2.31,88016435.0,Asia
Bangladesh,BGD,1981,29.0,0.85,90303104.0,Asia
Bangladesh,BGD,1985,29.0,2.87,100253825.0,Asia
Bangladesh,BGD,1990,29.0,3.15,111633722.0,Asia
Bangladesh,BGD,1991,35.0,0.85,113787112.0,Asia
Bangladesh,BGD,1995,35.0,3.72,122600372.0,Asia
Bangladesh,BGD,2000,35.0,4.77,134544303.0,Asia
Bangladesh,BGD,2001,47.0,0.85,136805810.0,Asia
Bangladesh,BGD,2005,47.0,5.51,144715789.0,Asia
Bangladesh,BGD,2010,47.0,6.22,152201978.0,Asia
Bangladesh,BGD,2011,59.0,0.85,153591074.0,Asia
Bangladesh,BGD,2012,58.0,0.85,155070110.0,Asia
Bangladesh,BGD,2013,61.0,0.85,156532134.0,Asia
Bangladesh,BGD,2014,61.0,0.85,157964931.0,Asia
Bangladesh,BGD,2015,65.0,6.76,159383179.0,Asia
Bangladesh,BGD,2016,73.0,0.85,160811934.0,Asia
Bangladesh,BGD,2017,73.0,0.85,162186146.0,Asia
Bangladesh,BGD,2018,74.0,0.85,163523109.0,Asia
Bangladesh,BGD,2019,75.0,0.85,164913060.0,Asia
Bangladesh,BGD,2020,75.0,7.23,166298024.0,Asia
Bangladesh,BGD,2021,76.0,0.85,167658855.0,Asia
Bangladesh,BGD,2022,79.0,0.85,169384891.0,Asia
Barbados,BRB,1870,92.5,0.94,161956.0,North America
Barbados,BRB,1875,92.5,1.06,166833.0,North America
Barbados,BRB,1880,92.5,1.21,171907.0,North America
Barbados,BRB,1885,92.5,1.28,177276.0,North America
Barbados,BRB,1890,92.5,1.37,182909.0,North America
Barbados,BRB,1895,92.5,1.41,189198.0,North America
Barbados,BRB,1900,92.5,1.52,193451.0,North America
Barbados,BRB,1905,92.5,1.97,183403.0,North America
Barbados,BRB,1910,92.5,1.95,172186.0,North America
Barbados,BRB,1915,92.5,2.29,164092.0,North America
Barbados,BRB,1920,92.5,2.7,158593.0,North America
Barbados,BRB,1925,92.5,2.96,165039.0,North America
Barbados,BRB,1930,92.5,3.19,173809.0,North America
Barbados,BRB,1935,92.5,3.53,183461.0,North America
Barbados,BRB,1940,92.5,3.91,193407.0,North America
Barbados,BRB,1945,92.5,4.33,201857.0,North America
Barbados,BRB,1950,92.5,4.68,209928.0,North America
Barbados,BRB,1955,92.5,4.85,223296.0,North America
Barbados,BRB,1960,92.5,5.08,230901.0,North America
Barbados,BRB,1965,92.5,6.79,242421.0,North America
Barbados,BRB,1970,99.0,8.59,249398.0,North America
Barbados,BRB,1975,99.0,7.95,251188.0,North America
Barbados,BRB,1980,99.0,7.72,251533.0,North America
Barbados,BRB,1985,99.0,8.42,255831.0,North America
Barbados,BRB,1990,99.0,8.79,258583.0,North America
Barbados,BRB,1995,99.0,9.07,262046.0,North America
Barbados,BRB,2000,99.0,9.23,262071.0,North America
Barbados,BRB,2005,99.0,9.41,268717.0,North America
Barbados,BRB,2010,99.0,9.57,275251.0,North America
Barbados,BRB,2015,99.0,9.46,278999.0,North America
Barbados,BRB,2020,99.0,9.67,281706.0,North America
Belarus,BLR,1989,98.0,2.72,10158779.0,Europe
Belarus,BLR,1999,100.0,2.72,10039221.0,Europe
Belarus,BLR,2009,100.0,2.72,9507334.0,Europe
Belarus,BLR,2019,100.0,2.72,9435415.0,Europe
Belgium,BEL,1475,10.0,5.93,1250000.0,Europe
Belgium,BEL,1550,17.0,5.93,1500000.0,Europe
Belgium,BEL,1650,25.0,5.93,1750000.0,Europe
Belgium,BEL,1750,13.0,5.93,2578639.0,Europe
Belgium,BEL,1870,13.0,2.43,5094086.0,Europe
Belgium,BEL,1875,13.0,2.39,5306815.0,Europe
Belgium,BEL,1880,13.0,2.56,5536082.0,Europe
Belgium,BEL,1885,13.0,2.65,5801075.0,Europe
Belgium,BEL,1890,13.0,2.64,6083656.0,Europe
Belgium,BEL,1895,13.0,2.65,6384484.0,Europe
Belgium,BEL,1900,80.4,2.66,6705987.0,Europe
Belgium,BEL,1905,80.4,2.77,7076924.0,Europe
Belgium,BEL,1910,86.6,3.09,7427418.0,Europe
Belgium,BEL,1915,86.6,3.26,7497707.0,Europe
Belgium,BEL,1920,92.2,3.48,7551028.0,Europe
Belgium,BEL,1925,92.2,3.75,7780807.0,Europe
Belgium,BEL,1930,94.1,4.27,8029570.0,Europe
Belgium,BEL,1935,94.1,4.65,8179335.0,Europe
Belgium,BEL,1940,94.1,5.17,8315772.0,Europe
Belgium,BEL,1945,94.1,5.93,8459824.0,Europe
Belgium,BEL,1950,96.5,6.85,8617442.0,Europe
Belgium,BEL,1955,96.5,7.17,8835492.0,Europe
Belgium,BEL,1960,96.5,7.4,9102172.0,Europe
Belgium,BEL,1965,96.5,7.56,9399851.0,Europe
Belgium,BEL,1970,96.5,7.98,9630508.0,Europe
Belgium,BEL,1975,96.5,8.39,9748472.0,Europe
Belgium,BEL,1980,96.5,8.93,9833093.0,Europe
Belgium,BEL,1985,96.5,9.41,9880338.0,Europe
Belgium,BEL,1990,96.5,10.0,9960968.0,Europe
Belgium,BEL,1995,96.5,10.64,10137264.0,Europe
Belgium,BEL,2000,96.5,10.95,10251719.0,Europe
Belgium,BEL,2005,96.5,11.11,10478883.0,Europe
Belgium,BEL,2010,96.5,11.29,10936619.0,Europe
Belgium,BEL,2015,96.5,11.36,11275332.0,Europe
Belgium,BEL,2020,96.5,11.57,11540102.0,Europe
Belize,BLZ,1870,77.5,0.4,25444.0,North America
Belize,BLZ,1875,77.5,0.5,26330.0,North America
Belize,BLZ,1880,77.5,0.61,27537.0,North America
Belize,BLZ,1885,77.5,0.76,29478.0,North America
Belize,BLZ,1890,77.5,0.94,31745.0,North America
Belize,BLZ,1895,77.5,1.14,34693.0,North America
Belize,BLZ,1900,77.5,1.36,37771.0,North America
Belize,BLZ,1905,77.5,1.98,39605.0,North America
Belize,BLZ,1910,77.5,2.56,41386.0,North America
Belize,BLZ,1915,77.5,3.06,43907.0,North America
Belize,BLZ,1920,77.5,3.78,46640.0,North America
Belize,BLZ,1925,77.5,4.15,49630.0,North America
Belize,BLZ,1930,77.5,4.53,52902.0,North America
Belize,BLZ,1935,77.5,4.91,56832.0,North America
Belize,BLZ,1940,77.5,5.3,60990.0,North America
Belize,BLZ,1945,77.5,5.65,64546.0,North America
Belize,BLZ,1950,77.5,7.28,69085.0,North America
Belize,BLZ,1955,77.5,7.46,79867.0,North America
Belize,BLZ,1960,77.5,7.8,91330.0,North America
Belize,BLZ,1965,77.5,7.91,104689.0,North America
Belize,BLZ,1970,77.5,7.86,120746.0,North America
Belize,BLZ,1975,77.5,8.11,130403.0,North America
Belize,BLZ,1980,77.5,7.88,145072.0,North America
Belize,BLZ,1985,77.5,8.1,163812.0,North America
Belize,BLZ,1990,77.5,8.97,183090.0,North America
Belize,BLZ,1991,70.0,5.65,187056.0,North America
Belize,BLZ,1995,70.0,9.62,204165.0,North America
Belize,BLZ,2000,70.0,10.19,240809.0,North America
Belize,BLZ,2005,70.0,10.77,279747.0,North America
Belize,BLZ,2010,70.0,11.28,320256.0,North America
Belize,BLZ,2015,90.91604,10.56,356341.0,North America
Belize,BLZ,2020,90.91604,10.71,390819.0,North America
Benin,BEN,1870,16.0,0.01,924897.0,Africa
Benin,BEN,1875,16.0,0.01,973488.0,Africa
Benin,BEN,1880,16.0,0.01,1023293.0,Africa
Benin,BEN,1885,16.0,0.01,1065415.0,Africa
Benin,BEN,1890,16.0,0.01,1106908.0,Africa
Benin,BEN,1895,16.0,0.01,1145820.0,Africa
Benin,BEN,1900,16.0,0.02,1187522.0,Africa
Benin,BEN,1905,16.0,0.02,1244910.0,Africa
Benin,BEN,1910,16.0,0.02,1306722.0,Africa
Benin,BEN,1915,16.0,0.03,1367585.0,Africa
Benin,BEN,1920,16.0,0.04,1429764.0,Africa
Benin,BEN,1925,16.0,0.12,1533380.0,Africa
Benin,BEN,1930,16.0,0.2,1650885.0,Africa
Benin,BEN,1935,16.0,0.27,1770751.0,Africa
Benin,BEN,1940,16.0,0.41,1902827.0,Africa
Benin,BEN,1945,16.0,0.48,2075585.0,Africa
Benin,BEN,1950,16.0,0.52,2250476.0,Africa
Benin,BEN,1955,16.0,0.61,2353653.0,Africa
Benin,BEN,1960,16.0,0.7,2517289.0,Africa
Benin,BEN,1965,16.0,0.79,2757936.0,Africa
Benin,BEN,1970,16.0,0.87,3065061.0,Africa
Benin,BEN,1975,16.0,0.96,3445406.0,Africa
Benin,BEN,1979,16.0,0.48,3818536.0,Africa
Benin,BEN,1980,16.0,1.26,3925258.0,Africa
Benin,BEN,1985,16.0,1.77,4538017.0,Africa
Benin,BEN,1990,16.0,2.24,5281482.0,Africa
Benin,BEN,1992,27.0,0.48,5617847.0,Africa
Benin,BEN,1995,27.0,2.73,6226775.0,Africa
Benin,BEN,2000,27.0,3.31,7221618.0,Africa
Benin,BEN,2002,35.0,0.48,7675430.0,Africa
Benin,BEN,2005,35.0,3.85,8426145.0,Africa
Benin,BEN,2010,35.0,4.57,9797488.0,Africa
Benin,BEN,2015,35.0,5.42,11360681.0,Africa
Benin,BEN,2017,38.87121,0.48,12039777.0,Africa
Benin,BEN,2019,48.99828,0.48,12726760.0,Africa
Benin,BEN,2020,48.99828,6.27,13070169.0,Africa
Benin,BEN,2021,43.83417,0.48,13413423.0,Africa
Benin,BEN,2022,51.37877,0.48,13759507.0,Africa
Bermuda,BMU,1950,96.5,2.72,37241.0,North America
Bhutan,BTN,1950,3.0,2.72,169991.0,Asia
Bhutan,BTN,2005,53.0,2.72,661875.0,Asia
Bhutan,BTN,2012,55.0,2.72,717288.0,Asia
Bhutan,BTN,2017,67.0,2.72,754343.0,Asia
Bolivia,BOL,1870,32.5,0.06,1509837.0,South America
Bolivia,BOL,1875,32.5,0.08,1332352.0,South America
